StudentID,SubjectArea,TestName,TestAttemptCode,Score,LevelCode,MetStandard
3846749,ELA,Smarter Balanced Assessment,TS,2550,L2,N
3665419,ELA,Smarter Balanced Assessment,TS,2303,L1,N
3544413,ELA,Smarter Balanced Assessment,TS,2419,L1,N
7691338,ELA,Smarter Balanced Assessment,TS,2499,L2,N
7244173,ELA,Smarter Balanced Assessment,TS,2416,L1,N
7799884,ELA,Smarter Balanced Assessment,TS,2624,L3,Y
6070477,ELA,Smarter Balanced Assessment,TS,2400,L2,N
3705788,ELA,Smarter Balanced Assessment,NB,,L0,N
6742400,ELA,Smarter Balanced Assessment,TS,2412,L1,N
7997167,ELA,Smarter Balanced Assessment,RF,,L0,N
7127814,ELA,Smarter Balanced Assessment,TS,2300,L1,N
3067442,ELA,Smarter Balanced Assessment,NB,,L0,N
6775454,ELA,Smarter Balanced Assessment,TS,2581,L4,Y
3102745,ELA,Smarter Balanced Assessment,PE,,--,-
7905975,ELA,Smarter Balanced Assessment,PE,,--,-
7905975,ELA,Smarter Balanced Assessment,PE,,--,-
6021701,ELA,Smarter Balanced Assessment,TS,2376,L1,N
7119347,ELA,Smarter Balanced Assessment,TS,2337,L1,N
7353893,ELA,Smarter Balanced Assessment,TS,2237,L1,N
7686938,ELA,Smarter Balanced Assessment,NB,,L0,N
7686938,ELA,Smarter Balanced Assessment,NE,,--,-
7415348,ELA,Smarter Balanced Assessment,TS,2511,L2,N
6499487,ELA,Smarter Balanced Assessment,TS,2577,L4,Y
7389884,ELA,Smarter Balanced Assessment,TS,2621,L3,Y
6187717,ELA,Smarter Balanced Assessment,TS,2690,L4,Y
7116998,ELA,Smarter Balanced Assessment,TS,2678,L3,Y
7359643,ELA,Smarter Balanced Assessment,TS,2795,L4,Y
6933475,ELA,Smarter Balanced Assessment,TS,2521,L3,Y
6244792,ELA,Smarter Balanced Assessment,TS,2567,L3,Y
7231808,ELA,Smarter Balanced Assessment,TS,2364,L1,N
6014491,ELA,Smarter Balanced Assessment,NB,,L0,N
7939148,ELA,Smarter Balanced Assessment,TS,2258,L1,N
7286321,ELA,Smarter Balanced Assessment,TS,2698,L4,Y
7401312,ELA,Smarter Balanced Assessment,TS,2403,L1,N
6367510,ELA,Smarter Balanced Assessment,TS,2478,L2,N
7895638,ELA,Smarter Balanced Assessment,TS,2634,L3,Y
6393514,ELA,Smarter Balanced Assessment,TS,2405,L1,N
6426586,ELA,Smarter Balanced Assessment,TS,2516,L4,Y
7973959,ELA,Smarter Balanced Assessment,NB,,L0,N
3945442,ELA,Smarter Balanced Assessment,TS,2351,L1,N
3480796,ELA,Smarter Balanced Assessment,NB,,L0,N
7365696,ELA,Smarter Balanced Assessment,TS,2587,L3,Y
6208778,ELA,Smarter Balanced Assessment,TS,2410,BA,Y
7651809,ELA,Smarter Balanced Assessment,TS,2609,L3,Y
7688947,ELA,Smarter Balanced Assessment,NB,,L0,N
6754555,ELA,Smarter Balanced Assessment,TS,2460,L3,Y
7206300,ELA,Smarter Balanced Assessment,TS,2664,L4,Y
3830712,ELA,Smarter Balanced Assessment,TS,2540,L3,Y
7718333,ELA,Smarter Balanced Assessment,TS,2498,L2,N
7642334,ELA,Smarter Balanced Assessment,IC,,L0,N
7405964,ELA,Smarter Balanced Assessment,TS,2682,L4,Y
3245447,ELA,Smarter Balanced Assessment,TS,2763,L4,Y
7741168,ELA,Smarter Balanced Assessment,TS,2667,L3,Y
6318781,ELA,Smarter Balanced Assessment,TS,2531,L3,Y
6044701,ELA,Smarter Balanced Assessment,TS,2418,L1,N
6611425,ELA,Smarter Balanced Assessment,TS,2519,L3,Y
6413712,ELA,Smarter Balanced Assessment,TS,2479,L2,N
6601407,ELA,Smarter Balanced Assessment,TS,2477,L3,Y
7465924,ELA,Smarter Balanced Assessment,TS,2456,L1,N
3138745,ELA,Smarter Balanced Assessment,TS,2326,L1,N
7552826,ELA,Smarter Balanced Assessment,TS,2466,L2,N
7443864,ELA,Smarter Balanced Assessment,TS,2593,L3,Y
6557435,ELA,Smarter Balanced Assessment,TS,2392,L1,N
7935696,ELA,Smarter Balanced Assessment,TS,2731,L4,Y
7706837,ELA,Smarter Balanced Assessment,TS,2508,L2,N
6640721,ELA,Smarter Balanced Assessment,TS,2542,L3,Y
6598776,ELA,Smarter Balanced Assessment,TS,2646,L4,Y
7798170,ELA,Smarter Balanced Assessment,NB,,L0,N
6701796,ELA,Smarter Balanced Assessment,RF,,L0,N
7587950,ELA,Smarter Balanced Assessment,NB,,L0,N
7804963,ELA,Smarter Balanced Assessment,TS,2760,L4,Y
6461743,ELA,Smarter Balanced Assessment,TS,2617,L3,Y
6140559,ELA,Smarter Balanced Assessment,TS,2532,L3,Y
7802970,ELA,Smarter Balanced Assessment,TS,2595,L3,Y
6454444,ELA,Smarter Balanced Assessment,IC,,L0,N
7492159,ELA,Smarter Balanced Assessment,TS,2395,L1,N
6614786,ELA,Smarter Balanced Assessment,IC,,L0,N
7042033,ELA,Smarter Balanced Assessment,NB,,L0,N
7458208,ELA,Smarter Balanced Assessment,PE,,--,-
7458208,ELA,Smarter Balanced Assessment,NE,,--,-
6578478,ELA,Smarter Balanced Assessment,TS,2354,L1,N
6906462,ELA,Smarter Balanced Assessment,TS,2527,L3,Y
3540417,ELA,Smarter Balanced Assessment,RF,,L0,N
6565750,ELA,Smarter Balanced Assessment,TS,2404,L1,N
7940372,ELA,Smarter Balanced Assessment,TS,2442,L1,N
6586730,ELA,Smarter Balanced Assessment,TS,2701,L4,Y
3946719,ELA,Smarter Balanced Assessment,TS,2273,L1,N
7677864,ELA,Smarter Balanced Assessment,TS,2504,L2,N
7463944,ELA,Smarter Balanced Assessment,BL,,L0,N
6407454,ELA,Smarter Balanced Assessment,TS,2555,L4,Y
7806812,ELA,Smarter Balanced Assessment,NB,,L0,N
6404472,ELA,Smarter Balanced Assessment,TS,2367,L1,N
3120780,ELA,Smarter Balanced Assessment,TS,2371,L1,N
3362447,ELA,Smarter Balanced Assessment,PE,,--,-
6193471,ELA,Smarter Balanced Assessment,TS,2439,L2,N
7916654,ELA,Smarter Balanced Assessment,TS,2740,L4,Y
6584462,ELA,Smarter Balanced Assessment,TS,2513,L3,Y
6738725,ELA,Smarter Balanced Assessment,TS,2559,L3,Y
3427714,ELA,Smarter Balanced Assessment,TS,2318,L1,N
7055001,ELA,Smarter Balanced Assessment,TS,2493,L2,N
3614788,ELA,Smarter Balanced Assessment,TS,2515,L2,N
6955747,ELA,Smarter Balanced Assessment,TS,2703,L4,Y
6398510,ELA,Smarter Balanced Assessment,TS,2438,L2,N
6402582,ELA,Smarter Balanced Assessment,TS,2497,L4,Y
3262783,ELA,Smarter Balanced Assessment,TS,2312,L1,N
6302593,ELA,Smarter Balanced Assessment,TS,2487,L3,Y
3440786,ELA,Smarter Balanced Assessment,TS,2528,L4,Y
3343419,ELA,Smarter Balanced Assessment,TS,2421,L2,N
3005751,ELA,Smarter Balanced Assessment,TS,2561,L3,Y
6868424,ELA,Smarter Balanced Assessment,TS,2357,L1,N
7624122,ELA,Smarter Balanced Assessment,IC,,L0,N
3244718,ELA,Smarter Balanced Assessment,TS,2361,L1,N
6963724,ELA,Smarter Balanced Assessment,TS,2630,L4,Y
6075475,ELA,Smarter Balanced Assessment,TS,2606,L4,Y
6978713,ELA,Smarter Balanced Assessment,TS,2545,L3,Y
6185517,ELA,Smarter Balanced Assessment,TS,2383,L1,N
7889941,ELA,Smarter Balanced Assessment,NB,,L0,N
7258827,ELA,Smarter Balanced Assessment,TS,2315,L1,N
7102360,ELA,Smarter Balanced Assessment,TS,2546,L2,N
7767882,ELA,Smarter Balanced Assessment,TS,2615,L3,Y
7353300,ELA,Smarter Balanced Assessment,TS,2378,L1,N
7331823,ELA,Smarter Balanced Assessment,TS,2595,L3,Y
6665789,ELA,Smarter Balanced Assessment,NB,,L0,N
