School,Grade,Ethnicity,HomeLang,ReadingPercentTotal,MathPercentTotal
117,8,M,Vietnamese,55.5,61
252,5,Asian,NA,96.5,96
117,7,Hispanic,Spanish,36.5,32.5
935,4,African-American,Oromo (Ethiopia),54.5,44
117,7,M,NA,60,37
288,5,African-American,Somali,59.5,62
249,8,African-American,NA,54.5,16.5
935,8,African-American,NA,49.5,9
244,4,African-American,NA,65,29
117,6,White,NA,76.5,94
117,8,Hispanic,Spanish,52,66
117,8,Asian,Vietnamese,53,76.5
272,4,Asian,Cantonese,44.5,72
329,7,African-American,NA,NA,NA
249,5,African-American,NA,14,10.5
117,7,Asian,NA,93,88.5
117,8,Asian,Toishanese,39,78.5
117,8,African-American,Somali,38.5,38.5
935,4,Asian,Cantonese,34,49.5
117,8,Hispanic,Spanish,5.5,6.5
935,6,Asian,Vietnamese,76,56
277,4,M,NA,1,1
117,6,African-American,Amharic,1,1
226,4,African-American,NA,NA,NA
117,7,African-American,Oromo (Ethiopia),58.5,31
117,6,M,NA,70.5,80
117,8,Asian,Cantonese,67.5,75
244,4,African-American,NA,49,22
117,8,Hispanic,NA,87,61
118,8,African-American,NA,69,55
130,8,African-American,Somali,1.5,2.5
130,8,African-American,Somali,1.5,2.5
130,8,African-American,Somali,1.5,2.5
117,7,African-American,NA,40.5,25
242,4,White,NA,94,95.5
117,8,Asian,NA,90.5,94
117,7,African-American,Somali,64,81.5
117,6,African-American,NA,42.5,51.5
244,4,White,NA,88,55.5
117,6,African-American,NA,71.5,89
107,8,African-American,NA,54.5,39.5
211,5,Asian,NA,82,98.5
117,6,African-American,NA,90,92
245,4,African-American,NA,NA,NA
218,5,African-American,Somali,65,52.5
226,5,African-American,NA,NA,NA
244,3,M,French,34.5,38.5
226,4,Hispanic,NA,25,52.5
117,6,African-American,Somali,52,52.5
249,5,African-American,NA,75,74.5
249,5,African-American,NA,59,73.5
117,6,African-American,Amharic,27,18
291,4,African-American,NA,19.5,38.5
244,4,White,NA,76,61
117,6,Hispanic,Spanish,71,97
104,7,African-American,NA,17,24
226,5,Asian,NA,10,5.5
226,4,M,Vietnamese,52.5,60.5
935,7,White,NA,42,71
243,4,Asian,NA,94.5,99
272,4,Hispanic,Spanish,7.5,71
107,7,African-American,NA,57,65
244,4,African-American,Somali,NA,NA
117,6,Hispanic,NA,18.5,9
226,5,White,Russian,49.5,46.5
218,5,African-American,Somali,22.5,17
117,6,Hispanic,Spanish,13.5,32.5
130,6,African-American,Somali,23,39.5
935,6,Asian,Cantonese,72.5,75
117,8,Asian,Mandarin,59.5,81
945,5,African-American,NA,NA,NA
104,8,African-American,Somali,NA,NA
226,4,M,NA,75.5,83.5
117,7,African-American,NA,1,4
249,5,African-American,NA,55.5,54.5
117,7,M,NA,97,74
130,8,African-American,Somali,NA,NA
117,8,Hispanic,Spanish,68,84.5
117,7,African-American,Somali,60,77.5
212,4,African-American,Somali,NA,NA
249,5,African-American,NA,28.5,53
117,6,M,NA,NA,NA
117,6,African-American,Somali,NA,NA
117,7,White,Russian,13.5,15.5
117,7,White,NA,97,93
117,6,Hispanic,Spanish,27,14
115,8,African-American,NA,26.5,43
117,8,Asian,Vietnamese,92,98
117,7,Asian,Cantonese,83,89
939,4,Hispanic,NA,NA,NA
212,5,African-American,Somali,26.5,19
117,6,African-American,Oromo (Ethiopia),NA,NA
117,8,Asian,Vietnamese,10,13
117,7,White,NA,91,97
117,7,Asian,Vietnamese,63.5,82
272,4,Hispanic,Spanish,25.5,10
272,4,Asian,Cantonese,6,28
117,6,Asian,Cantonese,70,92.5
226,5,African-American,NA,64,55.5
117,6,Asian,Vietnamese,61,62.5
272,4,Asian,Mandarin,NA,NA
117,6,M,NA,69.5,59.5
205,4,Asian,NA,93,99
244,4,Asian,NA,NA,NA
117,6,Asian,Vietnamese,63.5,50.5
249,8,African-American,NA,37.5,51.5
117,7,Asian,NA,65.5,87.5
117,7,Asian,Vietnamese,59.5,98
117,8,African-American,NA,68.5,53.5
117,7,Asian,Cantonese,54.5,75
117,7,Hispanic,Spanish,11.5,31.5
117,8,Hispanic,Spanish,41.5,39.5
272,4,White,NA,86,93.5
118,6,Asian,NA,1,5
117,6,White,NA,93.5,91.5
117,8,M,NA,81.5,78.5
117,7,Asian,Vietnamese,71,61.5
939,7,M,NA,40,62.5
935,5,African-American,NA,62.5,57
117,6,African-American,NA,1,1
272,5,Hispanic,Spanish,52.5,61
117,8,Asian,Vietnamese,37.5,63
