,Reference Area,Year,Observation Value,Continent
2245,Gabon,2009,6,Africa
2246,Gabon,2008,6,Africa
2247,Gabon,2007,6,Africa
2248,Gabon,2006,6,Africa
2249,Gabon,2005,6,Africa
2250,Gabon,2004,6,Africa
2251,Gabon,2003,6,Africa
2252,Gabon,2002,6,Africa
2253,Gabon,2001,6,Africa
2254,Gabon,2000,6,Africa
2255,Gabon,1999,6,Africa
2256,Gabon,1998,6,Africa
2257,Gabon,1997,6,Africa
2258,Gabon,1996,6,Africa
2259,Gabon,1995,6,Africa
2260,Gabon,1994,6,Africa
2261,Gabon,1993,6,Africa
2262,Gabon,1992,6,Africa
2263,Gabon,1991,6,Africa
2264,Gabon,1990,6,Africa
2265,Gabon,1989,6,Africa
2266,Gabon,1988,6,Africa
2267,Gabon,1987,6,Africa
2268,Gabon,1986,6,Africa
2269,Gabon,1985,6,Africa
2270,Gabon,1984,6,Africa
2271,Gabon,1983,6,Africa
2272,Gabon,1982,6,Africa
2273,Gabon,1981,6,Africa
2274,Gabon,1980,6,Africa
2275,Gabon,1979,6,Africa
2276,Gabon,1978,6,Africa
2277,Gabon,1977,6,Africa
2278,Gabon,1976,6,Africa
2279,Gabon,1975,6,Africa
2318,Gambia,1976,6,Africa
2319,Gambia,1975,6,Africa
2400,Ghana,2014,6,Africa
2401,Ghana,2013,6,Africa
2402,Ghana,2012,6,Africa
2403,Ghana,2011,6,Africa
2404,Ghana,2010,6,Africa
2405,Ghana,2009,6,Africa
2406,Ghana,2008,6,Africa
2407,Ghana,2007,6,Africa
2408,Ghana,2006,6,Africa
2409,Ghana,2005,6,Africa
2410,Ghana,2004,6,Africa
2411,Ghana,2003,6,Africa
2412,Ghana,2002,6,Africa
2413,Ghana,2001,6,Africa
2414,Ghana,2000,6,Africa
2415,Ghana,1999,6,Africa
2416,Ghana,1998,6,Africa
2417,Ghana,1997,6,Africa
2418,Ghana,1996,6,Africa
2419,Ghana,1995,6,Africa
2420,Ghana,1994,6,Africa
2421,Ghana,1993,6,Africa
2422,Ghana,1992,6,Africa
2423,Ghana,1991,6,Africa
2424,Ghana,1990,6,Africa
2425,Ghana,1989,6,Africa
2426,Ghana,1988,6,Africa
2427,Ghana,1987,6,Africa
2428,Ghana,1986,6,Africa
2429,Ghana,1985,6,Africa
2430,Ghana,1984,6,Africa
2431,Ghana,1983,6,Africa
2432,Ghana,1982,6,Africa
2433,Ghana,1981,6,Africa
2434,Ghana,1980,6,Africa
2435,Ghana,1979,6,Africa
2436,Ghana,1978,6,Africa
2437,Ghana,1977,6,Africa
2438,Ghana,1976,6,Africa
2439,Ghana,1975,6,Africa
2600,Guinea-Bissau,2014,6,Africa
2601,Guinea-Bissau,2013,6,Africa
2602,Guinea-Bissau,2012,6,Africa
2603,Guinea-Bissau,2011,6,Africa
3240,Kenya,2014,6,Africa
3241,Kenya,2013,6,Africa
3242,Kenya,2012,6,Africa
3243,Kenya,2011,6,Africa
3244,Kenya,2010,6,Africa
3245,Kenya,2009,6,Africa
3246,Kenya,2008,6,Africa
3247,Kenya,2007,6,Africa
3248,Kenya,2006,6,Africa
3249,Kenya,2005,6,Africa
3250,Kenya,2004,6,Africa
3251,Kenya,2003,6,Africa
3252,Kenya,2002,6,Africa
3253,Kenya,2001,6,Africa
3254,Kenya,2000,6,Africa
3255,Kenya,1999,6,Africa
3256,Kenya,1998,6,Africa
3257,Kenya,1997,6,Africa
3258,Kenya,1996,6,Africa
3259,Kenya,1995,6,Africa
3260,Kenya,1994,6,Africa
3261,Kenya,1993,6,Africa
3262,Kenya,1992,6,Africa
3263,Kenya,1991,6,Africa
3264,Kenya,1990,6,Africa
3265,Kenya,1989,6,Africa
3266,Kenya,1988,6,Africa
3267,Kenya,1987,6,Africa
3268,Kenya,1986,6,Africa
3269,Kenya,1985,6,Africa
3270,Kenya,1984,6,Africa
3271,Kenya,1983,6,Africa
3272,Kenya,1982,6,Africa
3273,Kenya,1981,6,Africa
3274,Kenya,1980,6,Africa
3275,Kenya,1979,6,Africa
3276,Kenya,1978,6,Africa
3277,Kenya,1977,6,Africa
3278,Kenya,1976,6,Africa
3279,Kenya,1975,6,Africa
3480,Lesotho,2014,6,Africa
3481,Lesotho,2013,6,Africa
3482,Lesotho,2012,6,Africa
3483,Lesotho,2011,6,Africa
3484,Lesotho,2010,6,Africa
3485,Lesotho,2009,6,Africa
3486,Lesotho,2008,6,Africa
3487,Lesotho,2007,6,Africa
3488,Lesotho,2006,6,Africa
3489,Lesotho,2005,6,Africa
3490,Lesotho,2004,6,Africa
3491,Lesotho,2003,6,Africa
3492,Lesotho,2002,6,Africa
3493,Lesotho,2001,6,Africa
3494,Lesotho,2000,6,Africa
3495,Lesotho,1999,6,Africa
3496,Lesotho,1998,6,Africa
3497,Lesotho,1997,6,Africa
3498,Lesotho,1996,6,Africa
3499,Lesotho,1995,6,Africa
3500,Lesotho,1994,6,Africa
3501,Lesotho,1993,6,Africa
3502,Lesotho,1992,6,Africa
3503,Lesotho,1991,6,Africa
3504,Lesotho,1990,6,Africa
3505,Lesotho,1989,6,Africa
3506,Lesotho,1988,6,Africa
3507,Lesotho,1987,6,Africa
3508,Lesotho,1986,6,Africa
3509,Lesotho,1985,6,Africa
3510,Lesotho,1984,6,Africa
3511,Lesotho,1983,6,Africa
3512,Lesotho,1982,6,Africa
3513,Lesotho,1981,6,Africa
3514,Lesotho,1980,6,Africa
3515,Lesotho,1979,6,Africa
3516,Lesotho,1978,6,Africa
3517,Lesotho,1977,6,Africa
3518,Lesotho,1976,6,Africa
3519,Lesotho,1975,6,Africa
3520,Liberia,2014,6,Africa
3521,Liberia,2013,6,Africa
3522,Liberia,2012,6,Africa
3523,Liberia,2011,6,Africa
3524,Liberia,2010,6,Africa
3525,Liberia,2009,6,Africa
3526,Liberia,2008,6,Africa
3527,Liberia,2007,6,Africa
3528,Liberia,2006,6,Africa
3529,Liberia,2005,6,Africa
3530,Liberia,2004,6,Africa
3531,Liberia,2003,6,Africa
3532,Liberia,2002,6,Africa
3533,Liberia,2001,6,Africa
3534,Liberia,2000,6,Africa
3535,Liberia,1999,6,Africa
3553,Liberia,1981,6,Africa
3554,Liberia,1980,6,Africa
3555,Liberia,1979,6,Africa
3556,Liberia,1978,6,Africa
3557,Liberia,1977,6,Africa
3558,Liberia,1976,6,Africa
3559,Liberia,1975,6,Africa
3679,Madagascar,2014,6,Africa
3680,Madagascar,2013,6,Africa
3681,Madagascar,2012,6,Africa
3682,Madagascar,2011,6,Africa
3683,Madagascar,2010,6,Africa
3684,Madagascar,2009,6,Africa
3685,Madagascar,2008,6,Africa
3686,Madagascar,2007,6,Africa
3687,Madagascar,2006,6,Africa
3688,Madagascar,2005,6,Africa
3689,Madagascar,2004,6,Africa
3690,Madagascar,2003,6,Africa
3691,Madagascar,2002,6,Africa
3692,Madagascar,2001,6,Africa
3693,Madagascar,2000,6,Africa
3694,Madagascar,1999,6,Africa
3695,Madagascar,1998,6,Africa
3696,Madagascar,1997,6,Africa
3697,Madagascar,1996,6,Africa
3698,Madagascar,1995,6,Africa
3699,Madagascar,1994,6,Africa
3700,Madagascar,1993,6,Africa
3701,Madagascar,1992,6,Africa
3702,Madagascar,1991,6,Africa
3703,Madagascar,1990,6,Africa
3704,Madagascar,1989,6,Africa
3705,Madagascar,1988,6,Africa
3706,Madagascar,1987,6,Africa
3707,Madagascar,1986,6,Africa
3708,Madagascar,1985,6,Africa
3709,Madagascar,1984,6,Africa
3710,Madagascar,1983,6,Africa
3711,Madagascar,1982,6,Africa
3712,Madagascar,1981,6,Africa
3713,Madagascar,1980,6,Africa
3714,Madagascar,1979,6,Africa
3715,Madagascar,1978,6,Africa
3716,Madagascar,1977,6,Africa
3717,Madagascar,1976,6,Africa
3718,Madagascar,1975,6,Africa
3719,Malawi,2014,6,Africa
3720,Malawi,2013,6,Africa
3721,Malawi,2012,6,Africa
3722,Malawi,2011,6,Africa
3723,Malawi,2010,6,Africa
3724,Malawi,2009,6,Africa
3725,Malawi,2008,6,Africa
3726,Malawi,2007,6,Africa
3727,Malawi,2006,6,Africa
3728,Malawi,2005,6,Africa
3729,Malawi,2004,6,Africa
3730,Malawi,2003,6,Africa
3731,Malawi,2002,6,Africa
3732,Malawi,2001,6,Africa
3733,Malawi,2000,6,Africa
3734,Malawi,1999,6,Africa
3735,Malawi,1998,6,Africa
3736,Malawi,1997,6,Africa
