"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Belize","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","69500","4"
"Belize","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","67730","4"
"Belize","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","64713",""
"Belize","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","66095","4"
"Belize","Rural Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","64370","4"
"Belize","Rural Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","61405","4"
"Belize","Rural Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","59150","4"
"Belize","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","56560","4"
"Belize","Rural Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","53245","4"
"Belize","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","52000","4"
"Belize","Rural Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","56049","4"
"Belize","Rural Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","55533","4"
"Belize","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","52153",""
"Belize","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","53883","4"
"Belize","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","52784","4"
"Benin","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2136080","2"
"Benin","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1883317","4"
"Benin","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1792926","4"
"Benin","Rural Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1750382","4"
"Benin","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1708605","4"
"Benin","Rural Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1665803","4"
"Benin","Rural Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1626213",""
"Benin","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2003701","2"
"Benin","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1792800","4"
"Benin","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1702874","4"
"Benin","Rural Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1658565","4"
"Benin","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1616138","4"
"Benin","Rural Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1575812","4"
"Benin","Rural Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1533145",""
